date,day_of_week,day_name,day_of_month,month,month_name,is_weekend,is_payday_window
2026-03-01,6,Sunday,1,3,March,True,False
2026-03-02,0,Monday,2,3,March,False,False
2026-03-03,1,Tuesday,3,3,March,False,False
2026-03-04,2,Wednesday,4,3,March,False,False
2026-03-05,3,Thursday,5,3,March,False,False
2026-03-06,4,Friday,6,3,March,False,False
2026-03-07,5,Saturday,7,3,March,True,False
2026-03-08,6,Sunday,8,3,March,True,False
2026-03-09,0,Monday,9,3,March,False,False
2026-03-10,1,Tuesday,10,3,March,False,False
2026-03-11,2,Wednesday,11,3,March,False,False
2026-03-12,3,Thursday,12,3,March,False,False
2026-03-13,4,Friday,13,3,March,False,True
2026-03-14,5,Saturday,14,3,March,True,True
2026-03-15,6,Sunday,15,3,March,True,True
2026-03-16,0,Monday,16,3,March,False,True
2026-03-17,1,Tuesday,17,3,March,False,False
2026-03-18,2,Wednesday,18,3,March,False,False
2026-03-19,3,Thursday,19,3,March,False,False
2026-03-20,4,Friday,20,3,March,False,False
2026-03-21,5,Saturday,21,3,March,True,False
2026-03-22,6,Sunday,22,3,March,True,False
2026-03-23,0,Monday,23,3,March,False,False
2026-03-24,1,Tuesday,24,3,March,False,False
2026-03-25,2,Wednesday,25,3,March,False,False
2026-03-26,3,Thursday,26,3,March,False,False
2026-03-27,4,Friday,27,3,March,False,True
2026-03-28,5,Saturday,28,3,March,True,True
2026-03-29,6,Sunday,29,3,March,True,True
2026-03-30,0,Monday,30,3,March,False,True
2026-03-31,1,Tuesday,31,3,March,False,True
2026-04-01,2,Wednesday,1,4,April,False,False
2026-04-02,3,Thursday,2,4,April,False,False
2026-04-03,4,Friday,3,4,April,False,False
2026-04-04,5,Saturday,4,4,April,True,False
2026-04-05,6,Sunday,5,4,April,True,False
2026-04-06,0,Monday,6,4,April,False,False
2026-04-07,1,Tuesday,7,4,April,False,False
2026-04-08,2,Wednesday,8,4,April,False,False
2026-04-09,3,Thursday,9,4,April,False,False
2026-04-10,4,Friday,10,4,April,False,False
2026-04-11,5,Saturday,11,4,April,True,False
2026-04-12,6,Sunday,12,4,April,True,False
2026-04-13,0,Monday,13,4,April,False,True
2026-04-14,1,Tuesday,14,4,April,False,True
2026-04-15,2,Wednesday,15,4,April,False,True
2026-04-16,3,Thursday,16,4,April,False,True
2026-04-17,4,Friday,17,4,April,False,False
2026-04-18,5,Saturday,18,4,April,True,False
2026-04-19,6,Sunday,19,4,April,True,False
2026-04-20,0,Monday,20,4,April,False,False
2026-04-21,1,Tuesday,21,4,April,False,False
2026-04-22,2,Wednesday,22,4,April,False,False
2026-04-23,3,Thursday,23,4,April,False,False
2026-04-24,4,Friday,24,4,April,False,False
2026-04-25,5,Saturday,25,4,April,True,False
2026-04-26,6,Sunday,26,4,April,True,False
2026-04-27,0,Monday,27,4,April,False,True
2026-04-28,1,Tuesday,28,4,April,False,True
2026-04-29,2,Wednesday,29,4,April,False,True
2026-04-30,3,Thursday,30,4,April,False,True
2026-05-01,4,Friday,1,5,May,False,False
2026-05-02,5,Saturday,2,5,May,True,False
2026-05-03,6,Sunday,3,5,May,True,False
2026-05-04,0,Monday,4,5,May,False,False
2026-05-05,1,Tuesday,5,5,May,False,False
2026-05-06,2,Wednesday,6,5,May,False,False
2026-05-07,3,Thursday,7,5,May,False,False
2026-05-08,4,Friday,8,5,May,False,False
2026-05-09,5,Saturday,9,5,May,True,False
2026-05-10,6,Sunday,10,5,May,True,False
2026-05-11,0,Monday,11,5,May,False,False
2026-05-12,1,Tuesday,12,5,May,False,False
2026-05-13,2,Wednesday,13,5,May,False,True
2026-05-14,3,Thursday,14,5,May,False,True
2026-05-15,4,Friday,15,5,May,False,True
2026-05-16,5,Saturday,16,5,May,True,True
2026-05-17,6,Sunday,17,5,May,True,False
2026-05-18,0,Monday,18,5,May,False,False
2026-05-19,1,Tuesday,19,5,May,False,False
2026-05-20,2,Wednesday,20,5,May,False,False
2026-05-21,3,Thursday,21,5,May,False,False
2026-05-22,4,Friday,22,5,May,False,False
2026-05-23,5,Saturday,23,5,May,True,False
2026-05-24,6,Sunday,24,5,May,True,False
2026-05-25,0,Monday,25,5,May,False,False
2026-05-26,1,Tuesday,26,5,May,False,False
2026-05-27,2,Wednesday,27,5,May,False,True
2026-05-28,3,Thursday,28,5,May,False,True
2026-05-29,4,Friday,29,5,May,False,True
2026-05-30,5,Saturday,30,5,May,True,True
2026-05-31,6,Sunday,31,5,May,True,True
2026-06-01,0,Monday,1,6,June,False,False
2026-06-02,1,Tuesday,2,6,June,False,False
2026-06-03,2,Wednesday,3,6,June,False,False
2026-06-04,3,Thursday,4,6,June,False,False
2026-06-05,4,Friday,5,6,June,False,False
2026-06-06,5,Saturday,6,6,June,True,False
2026-06-07,6,Sunday,7,6,June,True,False
2026-06-08,0,Monday,8,6,June,False,False
2026-06-09,1,Tuesday,9,6,June,False,False
2026-06-10,2,Wednesday,10,6,June,False,False
2026-06-11,3,Thursday,11,6,June,False,False
2026-06-12,4,Friday,12,6,June,False,False
2026-06-13,5,Saturday,13,6,June,True,True
2026-06-14,6,Sunday,14,6,June,True,True
2026-06-15,0,Monday,15,6,June,False,True
2026-06-16,1,Tuesday,16,6,June,False,True
2026-06-17,2,Wednesday,17,6,June,False,False
2026-06-18,3,Thursday,18,6,June,False,False
2026-06-19,4,Friday,19,6,June,False,False
2026-06-20,5,Saturday,20,6,June,True,False
2026-06-21,6,Sunday,21,6,June,True,False
2026-06-22,0,Monday,22,6,June,False,False
2026-06-23,1,Tuesday,23,6,June,False,False
2026-06-24,2,Wednesday,24,6,June,False,False
2026-06-25,3,Thursday,25,6,June,False,False
2026-06-26,4,Friday,26,6,June,False,False
2026-06-27,5,Saturday,27,6,June,True,True
2026-06-28,6,Sunday,28,6,June,True,True
2026-06-29,0,Monday,29,6,June,False,True
2026-06-30,1,Tuesday,30,6,June,False,True
2026-07-01,2,Wednesday,1,7,July,False,False
2026-07-02,3,Thursday,2,7,July,False,False
2026-07-03,4,Friday,3,7,July,False,False
2026-07-04,5,Saturday,4,7,July,True,False
