transaction_id,timestamp,store_id,product_id,qty,unit_price,discount,channel
T00001-P001,2026-03-01,STORE-001,P001,41.0,8.0,0.0,IN_STORE
T00002-P001,2026-03-02,STORE-001,P001,33.0,8.0,0.0,IN_STORE
T00003-P001,2026-03-03,STORE-001,P001,35.0,8.0,0.0,IN_STORE
T00004-P001,2026-03-04,STORE-001,P001,39.0,8.0,0.0,IN_STORE
T00005-P001,2026-03-05,STORE-001,P001,34.0,8.0,0.0,IN_STORE
T00006-P001,2026-03-06,STORE-001,P001,37.0,8.0,0.0,IN_STORE
T00007-P001,2026-03-07,STORE-001,P001,50.0,8.0,0.0,IN_STORE
T00008-P001,2026-03-08,STORE-001,P001,43.0,8.0,0.0,IN_STORE
T00009-P001,2026-03-09,STORE-001,P001,32.0,8.0,0.0,IN_STORE
T00010-P001,2026-03-10,STORE-001,P001,35.0,8.0,0.0,IN_STORE
T00011-P001,2026-03-11,STORE-001,P001,33.0,8.0,0.0,IN_STORE
T00012-P001,2026-03-12,STORE-001,P001,34.0,8.0,0.0,IN_STORE
T00013-P001,2026-03-13,STORE-001,P001,51.0,7.2,10.0,IN_STORE
T00014-P001,2026-03-14,STORE-001,P001,46.0,7.2,10.0,IN_STORE
T00015-P001,2026-03-15,STORE-001,P001,43.0,7.2,10.0,IN_STORE
T00016-P001,2026-03-16,STORE-001,P001,36.0,8.0,0.0,IN_STORE
T00017-P001,2026-03-17,STORE-001,P001,30.0,8.0,0.0,IN_STORE
T00018-P001,2026-03-18,STORE-001,P001,36.0,8.0,0.0,IN_STORE
T00019-P001,2026-03-19,STORE-001,P001,33.0,8.0,0.0,IN_STORE
T00020-P001,2026-03-20,STORE-001,P001,33.0,8.0,0.0,IN_STORE
T00021-P001,2026-03-21,STORE-001,P001,63.0,8.0,0.0,IN_STORE
T00022-P001,2026-03-22,STORE-001,P001,40.0,8.0,0.0,IN_STORE
T00023-P001,2026-03-23,STORE-001,P001,35.0,8.0,0.0,IN_STORE
T00024-P001,2026-03-24,STORE-001,P001,29.0,8.0,0.0,IN_STORE
T00025-P001,2026-03-25,STORE-001,P001,33.0,8.0,0.0,IN_STORE
T00026-P001,2026-03-26,STORE-001,P001,37.0,8.0,0.0,IN_STORE
T00027-P001,2026-03-27,STORE-001,P001,39.0,8.0,0.0,IN_STORE
T00028-P001,2026-03-28,STORE-001,P001,52.0,8.0,0.0,IN_STORE
T00029-P001,2026-03-29,STORE-001,P001,43.0,8.0,0.0,IN_STORE
T00030-P001,2026-03-30,STORE-001,P001,38.0,8.0,0.0,IN_STORE
T00031-P001,2026-03-31,STORE-001,P001,36.0,8.0,0.0,IN_STORE
T00032-P001,2026-04-01,STORE-001,P001,42.0,8.0,0.0,IN_STORE
T00033-P001,2026-04-02,STORE-001,P001,37.0,8.0,0.0,IN_STORE
T00034-P001,2026-04-03,STORE-001,P001,47.0,8.0,0.0,IN_STORE
T00035-P001,2026-04-04,STORE-001,P001,49.0,8.0,0.0,IN_STORE
T00036-P001,2026-04-05,STORE-001,P001,36.0,8.0,0.0,IN_STORE
T00037-P001,2026-04-06,STORE-001,P001,36.0,8.0,0.0,IN_STORE
